week_end,pruid,prename,prfname,vaccine_group,product_name,numtotal_totaldoses_admin,numtotal_dose1_admin,numtotal_dose2_admin,numtotal_dose3_admin,numtotal_dose4_admin,numtotal_dose5+_admin,numtotal_dosenotreported_admin,delta_week_freq,numdelta_dose1,numdelta_dose2,numdelta_dose3,numdelta_dose4,numdelta_dose5+,numdelta_notreported
2020-12-19,1,Canada,Canada,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),12360,7632,0,,,,4728,,,,,,,
2020-12-19,1,Canada,Canada,Total,Total,12362,7634,0,,,,4728,,,,,,,
2020-12-19,1,Canada,Canada,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,1,Canada,Canada,Unknown,Unknown,2,2,0,,,,0,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),972,972,0,,,,0,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,Total,972,972,0,,,,0,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,11,Prince Edward Island,Île-du-Prince-Édouard,Total,Total,,,,,,,,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1092,1092,0,,,,0,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Total,Total,1092,1092,0,,,,0,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,13,New Brunswick,Nouveau-Brunswick,Total,Total,,,,,,,,,,,,,,
2020-12-19,24,Quebec,Québec,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),4728,,,,,,4728,,,,,,,
2020-12-19,24,Quebec,Québec,Total,Total,4728,,,,,,4728,,,,,,,
2020-12-19,24,Quebec,Québec,Unknown,Not reported,0,,,,,,0,,,,,,,
2020-12-19,24,Quebec,Québec,Unknown,Unknown,0,,,,,,0,,,,,,,
2020-12-19,35,Ontario,Ontario,Total,Total,,,,,,,,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),894,894,0,,,,0,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Total,Total,894,894,0,,,,0,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,46,Manitoba,Manitoba,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty formulations,Pfizer-BioNTech Comirnaty (ages 12 years and older),1042,1042,0,,,,0,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Total,Total,1042,1042,0,,,,0,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Unknown,Not reported,0,0,0,,,,0,,,,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,Unknown,Unknown,0,0,0,,,,0,,,,,,,
2020-12-19,48,Alberta,Alberta,Total,Total,,,,,,,,,,,,,,
