FullDate,Year,Month,Day,WeekOfYear,IsWeekEnd,MonthStart
2023-07-15,2023,7,15,28,1,2023-07-01
2021-11-13,2021,11,13,45,1,2021-11-01
2021-12-18,2021,12,18,50,1,2021-12-01
2021-10-02,2021,10,2,39,1,2021-10-01
2020-08-29,2020,8,29,35,1,2020-08-01
2023-02-25,2023,2,25,8,1,2023-02-01
2024-05-25,2024,5,25,21,1,2024-05-01
2022-01-29,2022,1,29,4,1,2022-01-01
2022-06-18,2022,6,18,24,1,2022-06-01
2020-03-07,2020,3,7,10,1,2020-03-01
2021-07-17,2021,7,17,28,1,2021-07-01
2020-02-15,2020,2,15,7,1,2020-02-01
2021-09-11,2021,9,11,36,1,2021-09-01
2021-04-24,2021,4,24,16,1,2021-04-01
2024-04-20,2024,4,20,16,1,2024-04-01
2020-05-23,2020,5,23,21,1,2020-05-01
2022-03-12,2022,3,12,10,1,2022-03-01
2022-04-02,2022,4,2,13,1,2022-04-01
2023-11-25,2023,11,25,47,1,2023-11-01
2021-08-21,2021,8,21,33,1,2021-08-01
2023-07-29,2023,7,29,30,1,2023-07-01
2023-06-24,2023,6,24,25,1,2023-06-01
2022-08-20,2022,8,20,33,1,2022-08-01
2023-11-18,2023,11,18,46,1,2023-11-01
2021-07-10,2021,7,10,27,1,2021-07-01
2021-09-25,2021,9,25,38,1,2021-09-01
2022-01-15,2022,1,15,2,1,2022-01-01
2022-05-07,2022,5,7,18,1,2022-05-01
2023-04-29,2023,4,29,17,1,2023-04-01
2021-05-29,2021,5,29,21,1,2021-05-01
2023-03-04,2023,3,4,9,1,2023-03-01
2023-11-04,2023,11,4,44,1,2023-11-01
2024-06-15,2024,6,15,24,1,2024-06-01
2020-08-22,2020,8,22,34,1,2020-08-01
2022-03-19,2022,3,19,11,1,2022-03-01
2024-04-06,2024,4,6,14,1,2024-04-01
2022-01-08,2022,1,8,1,1,2022-01-01
2024-04-27,2024,4,27,17,1,2024-04-01
2022-04-09,2022,4,9,14,1,2022-04-01
2023-05-20,2023,5,20,20,1,2023-05-01
2021-12-04,2021,12,4,48,1,2021-12-01
2023-01-28,2023,1,28,4,1,2023-01-01
2023-04-01,2023,4,1,13,1,2023-04-01
2022-07-16,2022,7,16,28,1,2022-07-01
2024-08-03,2024,8,3,31,1,2024-08-01
2020-12-12,2020,12,12,50,1,2020-12-01
2020-03-21,2020,3,21,12,1,2020-03-01
2021-07-03,2021,7,3,26,1,2021-07-01
2022-12-17,2022,12,17,50,1,2022-12-01
2022-02-12,2022,2,12,6,1,2022-02-01
2023-05-13,2023,5,13,19,1,2023-05-01
2024-04-13,2024,4,13,15,1,2024-04-01
2022-03-26,2022,3,26,12,1,2022-03-01
2020-05-30,2020,5,30,22,1,2020-05-01
2023-02-18,2023,2,18,7,1,2023-02-01
2022-12-10,2022,12,10,49,1,2022-12-01
2023-07-22,2023,7,22,29,1,2023-07-01
2023-03-25,2023,3,25,12,1,2023-03-01
2024-02-17,2024,2,17,7,1,2024-02-01
2022-09-24,2022,9,24,38,1,2022-09-01
2024-09-07,2024,9,7,36,1,2024-09-01
2021-02-06,2021,2,6,5,1,2021-02-01
2021-06-19,2021,6,19,24,1,2021-06-01
2021-07-24,2021,7,24,29,1,2021-07-01
2021-05-15,2021,5,15,19,1,2021-05-01
2024-09-21,2024,9,21,38,1,2024-09-01
2020-05-09,2020,5,9,19,1,2020-05-01
2023-05-27,2023,5,27,21,1,2023-05-01
2021-01-23,2021,1,23,3,1,2021-01-01
2022-10-15,2022,10,15,41,1,2022-10-01
2020-11-28,2020,11,28,48,1,2020-11-01
2021-07-31,2021,7,31,30,1,2021-07-01
2021-09-04,2021,9,4,35,1,2021-09-01
2022-08-06,2022,8,6,31,1,2022-08-01
2024-02-10,2024,2,10,6,1,2024-02-01
2021-10-23,2021,10,23,42,1,2021-10-01
2023-01-21,2023,1,21,3,1,2023-01-01
2020-07-18,2020,7,18,29,1,2020-07-01
2024-08-10,2024,8,10,32,1,2024-08-01
2020-06-20,2020,6,20,25,1,2020-06-01
