pruid,PopDate,PopulationValue
12,2025-01-01,1079627
47,2025-01-01,1250909
1,2025-01-01,41528680
13,2025-01-01,858963
48,2025-01-01,4960097
61,2025-01-01,45074
35,2025-01-01,16182641
59,2025-01-01,5722318
10,2025-01-01,545579
24,2025-01-01,9111629
62,2025-01-01,41414
60,2025-01-01,47126
11,2025-01-01,179280
46,2025-01-01,1504023
12,2024-10-01,1079676
47,2024-10-01,1246691
1,2024-10-01,41465298
13,2024-10-01,857381
48,2024-10-01,4931601
61,2024-10-01,44936
35,2024-10-01,16171802
59,2024-10-01,5719594
10,2024-10-01,545880
24,2024-10-01,9100249
62,2024-10-01,41258
60,2024-10-01,46948
11,2024-10-01,179301
46,2024-10-01,1499981
12,2024-07-01,1076374
47,2024-07-01,1239865
1,2024-07-01,41288599
13,2024-07-01,854355
48,2024-07-01,4888723
61,2024-07-01,44731
35,2024-07-01,16124116
59,2024-07-01,5698430
10,2024-07-01,545247
24,2024-07-01,9056044
62,2024-07-01,41159
60,2024-07-01,46704
11,2024-07-01,178550
46,2024-07-01,1494301
12,2024-04-01,1071498
47,2024-04-01,1233068
1,2024-04-01,41038370
13,2024-04-01,849168
48,2024-04-01,4842523
61,2024-04-01,44686
35,2024-04-01,16033583
59,2024-04-01,5666888
10,2024-04-01,543141
24,2024-04-01,9003338
62,2024-04-01,40851
60,2024-04-01,46353
11,2024-04-01,177318
46,2024-04-01,1485955
12,2024-01-01,1068120
47,2024-01-01,1226848
1,2024-01-01,40784356
13,2024-01-01,844433
48,2024-01-01,4791876
61,2024-01-01,44499
35,2024-01-01,15944379
59,2024-01-01,5627961
10,2024-01-01,541820
24,2024-01-01,8956326
62,2024-01-01,40794
60,2024-01-01,45936
11,2024-01-01,176318
46,2024-01-01,1475046
12,2023-10-01,1064297
47,2023-10-01,1219702
1,2023-10-01,40513781
13,2023-10-01,840578
48,2023-10-01,4744897
61,2023-10-01,44495
35,2023-10-01,15818465
59,2023-10-01,5593961
10,2023-10-01,541000
24,2023-10-01,8918906
62,2023-10-01,40898
60,2023-10-01,45676
11,2023-10-01,175871
46,2023-10-01,1465035
12,2023-07-01,1056486
47,2023-07-01,1209307
1,2023-07-01,40083484
13,2023-07-01,832190
48,2023-07-01,4684514
61,2023-07-01,44681
