pruid,date,reporting_year,reporting_week,totalcases,numcases_weekly,numdeaths_weekly,ratecases_last7,ratedeaths_last7
12,2020-03-07,2020,10,0,0,0,0.0,0.0
12,2020-05-16,2020,20,1036,27,8,2.55,0.76
62,2020-05-23,2020,21,0,0,0,0.0,0.0
48,2020-09-19,2020,38,16576,994,1,21.17,0.02
1,2021-03-06,2021,9,880559,20509,226,51.15,0.56
61,2021-05-01,2021,17,57,8,0,17.79,0.0
59,2021-07-24,2021,29,148936,549,6,9.95,0.11
47,2021-10-30,2021,43,77494,1420,33,117.44,2.73
12,2022-07-02,2022,26,108366,1734,8,163.79,0.76
60,2023-06-24,2023,25,4989,0,0,0.0,0.0
13,2023-09-30,2023,39,91968,105,3,12.58,0.36
10,2023-12-30,2023,52,57542,87,3,16.15,0.56
60,2024-03-02,2024,9,4989,0,0,0.0,0.0
60,2024-03-09,2024,10,4989,0,0,0.0,0.0
46,2024-05-11,2024,19,161786,67,0,4.61,0.0
59,2024-07-20,2024,29,0,0,27,0.0,0.49
62,2024-08-03,2024,31,0,0,0,0.0,0.0
12,2020-06-06,2020,23,1058,3,1,0.28,0.09
10,2020-10-03,2020,40,276,4,0,0.74,0.0
13,2021-10-16,2021,41,5735,648,15,77.63,1.8
1,2021-11-27,2021,47,1782011,18980,137,47.33,0.34
62,2022-01-22,2022,3,1346,205,0,504.02,0.0
60,2022-02-05,2022,5,3202,126,3,280.16,6.67
11,2022-02-19,2022,7,11484,1379,1,793.5,0.58
11,2022-03-05,2022,9,16604,3243,0,1866.08,0.0
13,2022-03-12,2022,10,42320,3383,11,405.3,1.32
60,2022-04-09,2022,14,3953,98,0,217.9,0.0
24,2022-05-07,2022,18,1054158,8411,115,94.78,1.3
99,2022-08-13,2022,32,13,0,0,0.0,0.0
12,2022-09-17,2022,37,124511,962,13,90.87,1.23
12,2022-09-24,2022,38,125474,963,11,90.96,1.04
60,2023-04-22,2023,16,4989,0,0,0.0,0.0
46,2023-11-11,2023,45,158725,258,0,17.73,0.0
1,2023-12-16,2023,50,4868957,12345,185,30.79,0.46
35,2024-09-07,2024,36,0,0,10,0.0,0.06
46,2020-02-29,2020,9,0,0,0,0.0,0.0
99,2020-08-29,2020,35,13,0,0,0.0,0.0
61,2020-09-19,2020,38,5,0,0,0.0,0.0
62,2020-12-12,2020,50,242,38,0,93.43,0.0
62,2021-04-10,2021,14,395,0,0,0.0,0.0
35,2021-08-07,2021,31,552893,1903,12,12.19,0.08
46,2021-09-18,2021,37,59666,391,4,26.87,0.27
46,2021-10-16,2021,41,62091,629,10,43.23,0.69
11,2021-11-20,2021,46,344,18,0,10.36,0.0
61,2022-05-07,2022,18,11411,63,0,140.09,0.0
12,2022-05-28,2022,21,99688,1751,10,165.39,0.94
24,2023-01-28,2023,4,1301751,3065,68,34.54,0.77
10,2023-09-16,2023,37,56105,61,2,11.33,0.37
1,2024-06-08,2024,23,0,0,57,0.0,0.14
99,2020-06-06,2020,23,13,0,0,0.0,0.0
47,2021-11-06,2021,44,78567,1073,16,88.74,1.32
62,2022-02-19,2022,7,2414,259,0,636.79,0.0
35,2022-03-12,2022,10,1140607,11362,63,72.79,0.4
60,2022-08-13,2022,32,4771,33,1,73.37,2.22
99,2022-10-01,2022,39,13,0,0,0.0,0.0
