pruid,date,numtotal_all_administered,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,numtotal_other_or_unreported,updated
62,2021-01-25,4458,0,0,0,0,4458,1
47,2021-01-26,34080,0,0,0,0,34080,1
62,2021-03-09,14943,0,0,0,0,14943,1
12,2021-03-15,48077,0,0,0,0,48077,1
24,2021-03-24,1024713,0,0,0,0,1024713,1
60,2021-04-19,44416,24317,20099,0,0,0,0
12,2021-05-05,334775,26,36687,0,0,298062,1
35,2021-05-14,7003764,6548995,454756,13,0,0,1
12,2021-07-02,871219,702978,168241,0,0,0,0
48,2021-07-13,4894909,2792191,2101718,0,0,1000,1
12,2021-07-19,1110886,717435,393451,0,0,0,0
48,2021-08-09,5390219,2874086,2516133,0,0,0,1
62,2021-08-20,43619,22770,20849,0,0,0,0
61,2021-08-30,66295,34182,32113,0,0,0,0
11,2021-09-12,245459,128008,117451,0,0,0,0
47,2021-09-15,1505431,794415,711016,0,0,0,1
61,2022-01-29,95869,40565,37421,17883,0,0,0
13,2022-02-04,1655010,691197,633136,330677,0,0,1
35,2022-03-02,31123714,12266063,11739575,7010935,107118,23,1
47,2022-03-25,2384703,965031,899829,451254,0,68589,0
61,2022-03-29,100062,40975,39402,19685,0,0,1
62,2022-04-17,77571,32404,29624,15543,0,0,0
24,2022-04-18,19011428,7303411,6994194,4354164,0,359659,0
11,2022-05-07,368761,145529,140578,81176,1478,0,0
24,2022-05-17,19783398,7311326,7013438,4426708,0,1031926,1
12,2022-05-18,2313071,900298,853736,524532,34505,0,0
13,2022-05-23,1766829,699517,660511,392371,14413,17,0
12,2022-05-23,2313071,900298,853736,524532,34505,0,0
59,2022-06-27,11994569,4519132,4378515,2765576,331171,175,0
13,2022-08-03,1858624,700592,662327,398198,96028,1479,0
11,2022-08-26,396604,146239,141382,84003,24848,132,0
60,2022-08-29,101028,37852,36996,20883,5297,0,0
60,2022-08-30,101028,37852,36996,20883,5297,0,0
62,2022-09-03,81336,32689,30376,16283,1988,0,0
46,2022-09-11,3030746,1150454,1103561,619503,156979,249,0
1,2022-09-17,88761501,32459178,31109566,19202466,5721929,268362,1
48,2022-09-23,9246916,3629321,3424948,1743220,449427,0,0
24,2022-10-18,21462169,7352894,7057394,4578782,1819177,653922,0
48,2022-11-03,9547824,3635816,3433915,1769999,708094,0,0
48,2022-12-10,9762868,3641444,3440626,1796273,884525,0,0
46,2022-12-19,3279590,1160793,1109936,643947,287614,77300,0
62,2023-02-10,84412,32938,30633,16863,3978,0,0
59,2023-02-14,14199479,4612054,4450092,2985470,1719146,432717,0
